interaction_name ligand_type interaction_type lig_contributor lig_contributor_group lig_contributor_coeff target_subunit target_subunit_group target_subunit_coeff
104 Ach_CHRNA9 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
105 Ach_CHRNA10 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
106 Ach_CHRNB1 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
107 Ach_CHRNB2 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
108 Ach_CHRNB3 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
109 Ach_CHRNB4 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
110 Ach_CHRND Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
111 Ach_CHRNE Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
112 Ach_CHRNG Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
113 Ach_CHRM1 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
114 Ach_CHRM2 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
115 Ach_CHRM3 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
116 Ach_CHRM4 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
117 Ach_CHRM5 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
118 Ach_ACHE Neurotransmitter ligand degradation CHAT-SLC18A3 1-2 1-1  1 1
119 Gly_GLRA1 Neurotransmitter ligand-receptor SHMT1-SHMT2-SLC32A1 1-1-2 1-1  1 1
120 Gly_GLRA2 Neurotransmitter ligand-receptor SHMT1-SHMT2-SLC32A1 1-1-2 1-1  1 1
121 Gly_GLRA3 Neurotransmitter ligand-receptor SHMT1-SHMT2-SLC32A1 1-1-2 1-1  1 1
122 Gly_GLRA4 Neurotransmitter ligand-receptor SHMT1-SHMT2-SLC32A1 1-1-2 1-1  1 1
123 Gly_GLRB Neurotransmitter ligand-receptor SHMT1-SHMT2-SLC32A1 1-1-2 1-1  1 1
124 Gly_SLC6A9 Neurotransmitter ligand uptake SHMT1-SHMT2-SLC32A1 1-1-2 1-1  1 1
125 Gly_SLC6A5 Neurotransmitter ligand uptake SHMT1-SHMT2-SLC32A1 1-1-2 1-1  1 1
126 5HT_HTR1A Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
127 5HT_HTR1B Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
128 5HT_HTR1D Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
129 5HT_HTR1E Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
130 5HT_HTR1F Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
131 5HT_HTR2A Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
132 5HT_HTR2B Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
133 5HT_HTR2C Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
134 5HT_HTR3A Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
135 5HT_HTR3B Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
136 5HT_HTR3C Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
137 5HT_HTR3D Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
138 5HT_HTR3E Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
139 5HT_HTR4 Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
140 5HT_HTR5A Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
141 5HT_HTR6 Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
142 5HT_HTR7 Neurotransmitter ligand-receptor TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
143 5HT_SLC6A4 Neurotransmitter ligand uptake TPH1-TPH2-DDC-SLC18A1-SLC18A2 1-1-2-3-3 1-1-1  1 1
144 DA_DRD1 Neurotransmitter ligand-receptor TH-DDC-SLC18A1-SLC18A2 1-2-3-3 1-1-1  1 1
145 DA_DRD5 Neurotransmitter ligand-receptor TH-DDC-SLC18A1-SLC18A2 1-2-3-3 1-1-1  1 1
146 DA_DRD2 Neurotransmitter ligand-receptor TH-DDC-SLC18A1-SLC18A2 1-2-3-3 1-1-1  1 1
147 DA_DRD3 Neurotransmitter ligand-receptor TH-DDC-SLC18A1-SLC18A2 1-2-3-3 1-1-1  1 1
148 DA_DRD4 Neurotransmitter ligand-receptor TH-DDC-SLC18A1-SLC18A2 1-2-3-3 1-1-1  1 1
149 DA_SLC6A3 Neurotransmitter ligand uptake TH-DDC-SLC18A1-SLC18A2 1-2-3-3 1-1-1  1 1
150 DA_COMT Neurotransmitter ligand degradation TH-DDC-SLC18A1-SLC18A2 1-2-3-3 1-1-1  1 1
151 Epi_ADRA1A Neurotransmitter ligand-receptor TH-DDC-DBH-PNMT-SLC18A1-SLC18A2 1-2-3-4-5-5 1-1-1-1-1  1 1
152 Epi_ADRA1B Neurotransmitter ligand-receptor TH-DDC-DBH-PNMT-SLC18A1-SLC18A2 1-2-3-4-5-5 1-1-1-1-1  1 1
153 Epi_ADRA1D Neurotransmitter ligand-receptor TH-DDC-DBH-PNMT-SLC18A1-SLC18A2 1-2-3-4-5-5 1-1-1-1-1  1 1
154 Epi_ADRA2A Neurotransmitter ligand-receptor TH-DDC-DBH-PNMT-SLC18A1-SLC18A2 1-2-3-4-5-5 1-1-1-1-1  1 1
155 Epi_ADRA2B Neurotransmitter ligand-receptor TH-DDC-DBH-PNMT-SLC18A1-SLC18A2 1-2-3-4-5-5 1-1-1-1-1  1 1
156 Epi_ADRA2C Neurotransmitter ligand-receptor TH-DDC-DBH-PNMT-SLC18A1-SLC18A2 1-2-3-4-5-5 1-1-1-1-1  1 1
157 Epi_ADRB1 Neurotransmitter ligand-receptor TH-DDC-DBH-PNMT-SLC18A1-SLC18A2 1-2-3-4-5-5 1-1-1-1-1  1 1
158 Epi_ADRB2 Neurotransmitter ligand-receptor TH-DDC-DBH-PNMT-SLC18A1-SLC18A2 1-2-3-4-5-5 1-1-1-1-1  1 1
159 Epi_ADRB3 Neurotransmitter ligand-receptor TH-DDC-DBH-PNMT-SLC18A1-SLC18A2 1-2-3-4-5-5 1-1-1-1-1  1 1
160 NE_ADRA1A Neurotransmitter ligand-receptor TH-DDC-DBH-SLC18A1-SLC18A2 1-2-3-4-4 1-1-1-1  1 1
161 NE_ADRA1B Neurotransmitter ligand-receptor TH-DDC-DBH-SLC18A1-SLC18A2 1-2-3-4-4 1-1-1-1  1 1
162 NE_ADRA1D Neurotransmitter ligand-receptor TH-DDC-DBH-SLC18A1-SLC18A2 1-2-3-4-4 1-1-1-1  1 1
163 NE_ADRA2A Neurotransmitter ligand-receptor TH-DDC-DBH-SLC18A1-SLC18A2 1-2-3-4-4 1-1-1-1  1 1
164 NE_ADRA2B Neurotransmitter ligand-receptor TH-DDC-DBH-SLC18A1-SLC18A2 1-2-3-4-4 1-1-1-1  1 1
165 NE_ADRA2C Neurotransmitter ligand-receptor TH-DDC-DBH-SLC18A1-SLC18A2 1-2-3-4-4 1-1-1-1  1 1
