lr_pair	ligand_gene_symbol	receptor_gene_symbol	ligand_gene_id	receptor_gene_id	ligand_ensembl_protein_id	receptor_ensembl_protein_id	ligand_ensembl_gene_id	receptor_ensembl_gene_id	evidence
CCL17_ACKR1	CCL17	ACKR1	6361	2532	ENSP00000219244	ENSP00000357103	ENSG00000102970	ENSG00000213088	10699158,13679391
CCL17_ACKR2	CCL17	ACKR2	6361	1238	ENSP00000219244	ENSP00000416996	ENSG00000102970	ENSG00000144648	10699158
CCL17_CCR8	CCL17	CCR8	6361	1237	ENSP00000219244	ENSP00000326432	ENSG00000102970	ENSG00000179934	10699158
TG_ASGR1	TG	ASGR1	7038	432	ENSP00000220616	ENSP00000269299	ENSG00000042832	ENSG00000141505	12477859
TG_LRP2	TG	LRP2	7038	4036	ENSP00000220616	ENSP00000263816	ENSG00000042832	NA	11029276
TG_TPO	TG	TPO	7038	7173	ENSP00000220616	ENSP00000318820	ENSG00000042832	ENSG00000115705	28153798
SFRP1_FZD2	SFRP1	FZD2	6422	2535	ENSP00000220772	ENSP00000323901	ENSG00000104332	ENSG00000180340	26198319,32196115
SFRP1_FZD6	SFRP1	FZD6	6422	8323	ENSP00000220772	ENSP00000351605	ENSG00000104332	ENSG00000164930	10347172
PLAT_ITGAM	PLAT	ITGAM	5327	3684	ENSP00000220809	ENSP00000441691	ENSG00000104368	ENSG00000169896	22677557
PLAT_LRP1	PLAT	LRP1	5327	4035	ENSP00000220809	ENSP00000243077	ENSG00000104368	ENSG00000123384	10632583
PLAT_ITGB2	PLAT	ITGB2	5327	3689	ENSP00000220809	ENSP00000380948	ENSG00000104368	ENSG00000160255	32196115
DKK4_LRP6	DKK4	LRP6	27121	4040	ENSP00000220812	ENSP00000261349	ENSG00000104371	ENSG00000070018	29925589
DKK4_LRP5	DKK4	LRP5	27121	4041	ENSP00000220812	ENSP00000294304	ENSG00000104371	ENSG00000162337	29925589
