interaction_name	ligand_type	interaction_type	lig_contributor	lig_contributor_group	lig_contributor_coeff	target_subunit	target_subunit_group	target_subunit_coeff
NE_Adra2c	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Slc18a1-Slc18a2	1-2-3-4-4	1-1-1-1		1	1.0
NE_Adrb1	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Slc18a1-Slc18a2	1-2-3-4-4	1-1-1-1		1	1.0
NE_Adrb2	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Slc18a1-Slc18a2	1-2-3-4-4	1-1-1-1		1	1.0
NE_Adrb3	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Slc18a1-Slc18a2	1-2-3-4-4	1-1-1-1		1	1.0
NE_Slc6a2	Neurotransmitter	ligand-uptake	Th-Ddc-Dbh-Slc18a1-Slc18a2	1-2-3-4-4	1-1-1-1		1	1.0
NE_Comt	Neurotransmitter	ligand-degradation	Th-Ddc-Dbh-Slc18a1-Slc18a2	1-2-3-4-4	1-1-1-1		1	1.0
CO_Gucy1b1	Gas-gas-effector	Hmox1-Hmox2	1-1	1		1.0	1	
CO_Gucy1b2	Gas-gas-effector	Hmox1-Hmox2	1-1	1		1.0	1	
CO_Gucy1a1	Gas-gas-effector	Hmox1-Hmox2	1-1	1		1.0	1	
CO_Gucy1a2	Gas-gas-effector	Hmox1-Hmox2	1-1	1		1.0	1	
NO_Gucy1b1	Gas-gas-effector	Nos1-Nos2-Nos3	1-1-1	1		1.0	1	
NO_Gucy1b2	Gas-gas-effector	Nos1-Nos2-Nos3	1-1-1	1		1.0	1	
NO_Gucy1a1	Gas-gas-effector	Nos1-Nos2-Nos3	1-1-1	1		1.0	1	
NO_Gucy1a2	Gas-gas-effector	Nos1-Nos2-Nos3	1-1-1	1		1.0	1	
Nrxn2_Nlgn1	Synaptic-adhesion-molecule	ligand-receptor	Nrxn2	1	1		1	1.0
Nrxn3_Nlgn1	Synaptic-adhesion-molecule	ligand-receptor	Nrxn3	1	1		1	1.0
Nrxn1_Nlgn2	Synaptic-adhesion-molecule	ligand-receptor	Nrxn1	1	1		1	1.0
Nrxn3_Nlgn2	Synaptic-adhesion-molecule	ligand-receptor	Nrxn3	1	1		1	1.0
Nrxn1_Nlgn3	Synaptic-adhesion-molecule	ligand-receptor	Nrxn1	1	1		1	1.0
Nrxn2_Nlgn3	Synaptic-adhesion-molecule	ligand-receptor	Nrxn2	1	1		1	1.0
